DATE,precip,humidity,wind_speed,sea_pressure,min_temp,rain
2024-03-04T23:59:00,0.04,71.0,5.8,30.11,54.0,1
2017-11-27T23:59:00,0.02,74.0,5.0,30.01,55.0,1
2016-10-17T23:59:00,0.005,73.0,4.7,29.97,65.0,1
2022-04-21T23:59:00,0.005,72.0,6.1,30.04,52.0,1
2017-10-31T23:59:00,0.005,72.0,5.9,29.93,63.0,1
2019-02-14T23:59:00,0.59,84.0,14.9,29.92,55.0,1
2022-12-29T23:59:00,0.005,77.0,4.7,30.02,55.0,1
2023-11-15T23:59:00,0.14,70.0,3.7,29.96,54.0,1
2019-12-06T23:59:00,0.005,77.0,3.0,30.13,54.0,1
2018-01-22T23:59:00,0.0,48.0,3.7,30.21,48.0,0
2018-06-28T23:59:00,0.0,72.0,6.2,29.94,64.0,0
2016-10-31T23:59:00,0.005,70.0,4.4,30.04,63.0,1
2017-05-31T23:59:00,0.005,80.0,7.1,29.89,60.0,1
2017-08-25T23:59:00,0.0,76.0,5.7,29.84,67.0,0
2017-08-01T23:59:00,0.005,75.0,4.6,29.89,70.0,1
2016-11-21T23:59:00,0.12,71.0,8.4,30.01,60.0,1
2017-02-06T23:59:00,0.02,78.0,9.8,30.1,57.0,1
2021-11-27T23:59:00,0.0,54.0,1.8,30.09,46.0,0
2019-05-02T23:59:00,0.0,71.0,6.6,29.99,59.0,0
2016-08-25T23:59:00,0.0,74.0,5.2,29.95,66.0,0
2024-04-22T23:59:00,0.0,81.0,5.5,29.93,58.0,0
2021-01-11T23:59:00,0.0,45.0,3.6,30.17,43.0,0
2023-06-06T23:59:00,0.0,62.0,6.6,29.93,61.0,0
2022-03-27T23:59:00,0.0,71.0,7.0,29.92,56.0,0
2022-08-10T23:59:00,0.0,70.0,5.1,29.99,72.0,0
2020-03-25T23:59:00,0.04,63.0,7.6,30.08,56.0,1
2018-11-19T23:59:00,0.0,64.0,2.4,30.03,54.0,0
2024-01-07T23:59:00,0.03,50.0,12.2,29.97,47.0,1
2018-07-04T23:59:00,0.0,69.0,5.9,30.01,66.0,0
2019-04-16T23:59:00,0.005,67.0,8.8,30.03,59.0,1
2019-08-13T23:59:00,0.0,80.0,5.8,29.96,65.0,0
2019-07-12T23:59:00,0.0,81.0,5.3,29.87,65.0,0
2016-04-15T23:59:00,0.0,56.0,6.1,29.9,58.0,0
2022-07-14T23:59:00,0.0,79.0,6.2,29.96,64.0,0
2021-12-31T23:59:00,0.005,72.0,6.4,29.78,54.0,1
2019-07-01T23:59:00,0.0,80.0,6.5,29.96,63.0,0
2021-12-26T23:59:00,0.08,71.0,5.8,30.09,46.0,1
2022-01-01T23:59:00,0.0,62.0,3.4,30.12,53.0,0
2017-09-24T23:59:00,0.0,62.0,5.6,29.86,60.0,0
2021-11-15T23:59:00,0.0,61.0,3.0,30.08,54.0,0
2019-08-15T23:59:00,0.0,81.0,7.3,29.94,64.0,0
2016-03-12T23:59:00,0.0,55.0,7.8,30.18,57.0,0
2019-12-27T23:59:00,0.0,73.0,2.5,29.97,44.0,0
2017-05-25T23:59:00,0.0,62.0,6.4,29.9,61.0,0
2024-04-26T23:59:00,0.005,71.0,9.0,29.98,57.0,1
2020-10-08T23:59:00,0.0,60.0,5.6,29.95,65.0,0
2017-01-25T23:59:00,0.0,61.0,4.5,30.27,45.0,0
2019-12-08T23:59:00,0.04,91.0,4.2,30.06,60.0,1
2022-02-21T23:59:00,0.005,63.0,9.6,30.01,55.0,1
2023-02-23T23:59:00,0.11,62.0,10.0,30.05,50.0,1
2016-09-02T23:59:00,0.0,76.0,6.1,29.91,63.0,0
2016-06-04T23:59:00,0.0,77.0,5.5,29.95,62.0,0
2021-08-29T23:59:00,0.005,78.0,6.9,29.78,69.0,1
2021-12-22T23:59:00,0.005,77.0,3.0,30.07,49.0,1
2018-11-26T23:59:00,0.0,54.0,3.7,30.09,56.0,0
2024-02-22T23:59:00,0.0,82.0,4.1,30.19,50.0,0
2022-05-08T23:59:00,0.0,69.0,10.1,29.92,58.0,0
2017-11-30T23:59:00,0.0,73.0,3.0,30.04,55.0,0
2018-10-05T23:59:00,0.09,75.0,5.6,29.95,66.0,1
2021-05-16T23:59:00,0.04,70.0,7.7,30.03,59.0,1
2018-08-23T23:59:00,0.0,68.0,5.8,30.0,73.0,0
2017-07-03T23:59:00,0.0,73.0,5.9,30.01,64.0,0
2018-03-11T23:59:00,0.005,77.0,7.1,30.08,60.0,1
2019-06-21T23:59:00,0.01,79.0,6.9,29.97,61.0,1
2017-08-03T23:59:00,0.0,83.0,5.7,29.97,71.0,0
2021-08-02T23:59:00,0.0,67.0,7.7,30.0,70.0,0
2020-02-21T23:59:00,0.005,82.0,5.6,30.03,53.0,1
2021-05-02T23:59:00,0.01,71.0,8.8,29.89,59.0,1
2019-01-29T23:59:00,0.0,81.0,3.6,29.93,55.0,0
2019-11-28T23:59:00,1.37,81.0,10.8,29.65,52.0,1
2023-10-07T23:59:00,0.0,84.0,4.0,29.88,62.0,0
2019-09-28T23:59:00,0.07,77.0,6.9,29.83,66.0,1
2019-09-05T23:59:00,0.0,78.0,4.6,29.95,73.0,0
2020-10-10T23:59:00,0.0,65.0,4.4,29.97,67.0,0
2021-04-11T23:59:00,0.0,68.0,6.6,29.82,57.0,0
2018-06-21T23:59:00,0.005,79.0,5.4,29.95,63.0,1
2020-04-18T23:59:00,0.03,72.0,6.7,30.08,59.0,1
2018-01-20T23:59:00,0.005,54.0,10.8,30.07,54.0,1
2020-02-27T23:59:00,0.0,28.0,3.2,30.14,51.0,0
2018-01-02T23:59:00,0.0,73.0,4.5,30.1,54.0,0
2020-12-27T23:59:00,0.0,72.0,5.1,29.98,56.0,0
2022-03-04T23:59:00,0.62,78.0,9.1,30.0,53.0,1
2018-04-30T23:59:00,0.01,73.0,10.6,30.0,57.0,1
2018-02-22T23:59:00,0.04,66.0,6.7,30.24,47.0,1
2021-03-30T23:59:00,0.0,70.0,6.0,29.97,58.0,0
2020-11-20T23:59:00,0.0,74.0,4.0,30.09,54.0,0
2021-03-12T23:59:00,0.005,60.0,6.2,30.17,49.0,1
2018-12-13T23:59:00,0.0,70.0,2.1,30.2,51.0,0
2023-04-16T23:59:00,0.005,79.0,5.4,30.09,56.0,1
2021-05-07T23:59:00,0.0,63.0,6.0,30.01,61.0,0
2021-06-30T23:59:00,0.0,74.0,5.3,29.92,67.0,0
2023-01-20T23:59:00,0.03,69.0,4.2,30.2,47.0,1
2020-08-17T23:59:00,0.0,76.0,4.1,29.91,71.0,0
2019-01-15T23:59:00,0.15,77.0,6.9,30.07,56.0,1
2022-04-17T23:59:00,0.005,78.0,8.2,30.1,57.0,1
2019-01-20T23:59:00,0.005,67.0,2.4,30.07,53.0,1
2023-08-08T23:59:00,0.005,69.0,3.9,30.01,69.0,1
2018-12-17T23:59:00,0.005,79.0,3.6,30.19,49.0,1
2018-01-18T23:59:00,0.0,81.0,4.1,30.08,54.0,0
2019-02-16T23:59:00,0.01,58.0,9.4,30.15,52.0,1
2018-05-21T23:59:00,0.005,74.0,8.3,29.91,59.0,1
2022-02-15T23:59:00,0.22,68.0,10.4,29.93,49.0,1
2020-08-15T23:59:00,0.0,67.0,4.9,29.84,72.0,0
2018-04-19T23:59:00,0.01,63.0,8.6,30.08,55.0,1
2017-03-19T23:59:00,0.0,73.0,5.1,30.09,57.0,0
2021-02-01T23:59:00,0.005,61.0,3.7,30.07,57.0,1
2021-06-23T23:59:00,0.01,73.0,7.1,29.96,67.0,1
2019-05-10T23:59:00,0.1,75.0,6.2,29.86,59.0,1
2021-11-14T23:59:00,0.0,46.0,2.3,30.07,56.0,0
2020-10-11T23:59:00,0.0,69.0,4.7,29.97,66.0,0
2019-06-28T23:59:00,0.0,76.0,5.7,30.0,64.0,0
2020-03-09T23:59:00,0.14,65.0,4.8,30.06,53.0,1
2020-04-13T23:59:00,0.06,86.0,5.8,30.14,58.0,1
2019-02-15T23:59:00,0.07,71.0,5.0,30.12,53.0,1
2023-09-10T23:59:00,0.005,75.0,5.1,29.92,71.0,1
2021-12-09T23:59:00,0.11,81.0,6.8,29.98,55.0,1
2019-09-11T23:59:00,0.0,68.0,5.9,29.97,67.0,0
2017-06-20T23:59:00,0.0,82.0,8.7,29.84,65.0,0
2022-07-06T23:59:00,0.0,78.0,7.1,29.96,66.0,0
2020-03-03T23:59:00,0.0,63.0,3.4,29.95,49.0,0
2020-03-01T23:59:00,0.01,64.0,8.9,30.01,55.0,1
2022-10-31T23:59:00,0.0,70.0,3.7,29.9,55.0,0
2019-08-01T23:59:00,0.0,79.0,6.7,29.98,68.0,0
2024-09-14T23:59:00,0.0,68.0,5.9,29.88,69.0,0
2017-10-13T23:59:00,0.0,76.0,5.5,29.97,64.0,0
2023-05-28T23:59:00,0.005,75.0,5.2,29.96,61.0,1
2017-03-05T23:59:00,0.01,64.0,7.6,30.06,55.0,1
2022-12-12T23:59:00,0.47,79.0,4.1,29.94,46.0,1
2020-07-29T23:59:00,0.0,78.0,7.1,29.95,64.0,0
2018-11-28T23:59:00,0.005,69.0,5.1,29.96,57.0,1
2016-04-28T23:59:00,0.005,61.0,8.7,29.91,58.0,1
2020-03-20T23:59:00,0.07,75.0,3.5,30.19,54.0,1
2018-06-19T23:59:00,0.0,71.0,6.7,29.97,64.0,0
2021-01-24T23:59:00,0.13,72.0,4.9,29.94,47.0,1
